/home/service/the-one-normal/reports/freiburg1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'ProphetV2Router', 'Group.bufferSize': '1000G', 'Group.msgTtl': '800', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.6', 'ProphetV2Router.gamma': '1.0', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'freiburg1True_settings.txt']
Percent: 1/144
Run 1/1
23 in line defined by file data/freiburg1True/1_schedule.csv
24 in line defined by file data/freiburg1True/2_schedule.csv
44 in line defined by file data/freiburg1True/3_schedule.csv
15 in line defined by file data/freiburg1True/4_schedule.csv
11 in line defined by file data/freiburg1True/5_schedule.csv
Running simulation 'freiburg1True_router:ProphetV2Router_bSize:1000G_Ttl:800_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.6_gamma:1.0_tSpeed:5M_tRange:80_seed:2'
11834.3 30221: 0.46 1/s
11894.4 30250: 0.48 1/s
11954.5 30278: 0.47 1/s
12014.6 30304: 0.44 1/s
12074.7 30329: 0.41 1/s
12134.8 30362: 0.54 1/s
12194.9 30385: 0.38 1/s
12255.0 30419: 0.58 1/s
12315.0 30444: 0.41 1/s
12375.3 30478: 0.57 1/s
12435.6 30499: 0.35 1/s
12495.7 30528: 0.49 1/s
12555.8 30552: 0.39 1/s
12615.9 30577: 0.42 1/s
12676.0 30609: 0.53 1/s
12736.1 30639: 0.51 1/s
12796.4 30664: 0.41 1/s
12856.5 30684: 0.33 1/s
12916.7 30715: 0.52 1/s
12976.9 30735: 0.34 1/s
13037.0 30762: 0.45 1/s
13097.1 30789: 0.44 1/s
13157.2 30814: 0.42 1/s
13217.3 30843: 0.48 1/s
13277.4 30867: 0.40 1/s
13337.6 30899: 0.54 1/s
13397.7 30919: 0.33 1/s
13457.8 30947: 0.46 1/s
13517.8 30973: 0.43 1/s
13577.9 31001: 0.48 1/s
13638.0 31028: 0.44 1/s
13698.1 31054: 0.44 1/s
13758.2 31082: 0.47 1/s
13818.2 31103: 0.35 1/s
13878.3 31132: 0.47 1/s
13938.3 31155: 0.38 1/s
13998.6 31183: 0.47 1/s
14058.8 31205: 0.37 1/s
14119.1 31224: 0.31 1/s
14179.1 31254: 0.50 1/s
14239.1 31276: 0.37 1/s
14299.3 31304: 0.46 1/s
14359.3 31332: 0.47 1/s
14419.3 31359: 0.46 1/s
14479.3 31384: 0.41 1/s
14539.4 31403: 0.32 1/s
14599.5 31433: 0.50 1/s
14659.6 31459: 0.42 1/s
14719.8 31488: 0.48 1/s
14780.2 31510: 0.37 1/s
14840.3 31534: 0.40 1/s
14900.5 31561: 0.45 1/s
14960.6 31583: 0.36 1/s
15020.7 31615: 0.54 1/s
15080.8 31634: 0.30 1/s
15140.8 31655: 0.36 1/s
15200.9 31689: 0.56 1/s
15261.0 31716: 0.45 1/s
15321.3 31743: 0.45 1/s
15381.3 31763: 0.32 1/s
15441.3 31790: 0.45 1/s
15501.6 31809: 0.32 1/s
15561.7 31829: 0.32 1/s
15621.9 31859: 0.51 1/s
15682.0 31881: 0.36 1/s
15742.2 31910: 0.50 1/s
15802.2 31930: 0.32 1/s
15862.4 31950: 0.33 1/s
15922.6 31976: 0.44 1/s
15982.8 31994: 0.31 1/s
16042.9 32019: 0.41 1/s
16103.0 32044: 0.41 1/s
16163.1 32063: 0.31 1/s
16223.2 32091: 0.47 1/s
16283.3 32114: 0.39 1/s
16343.5 32141: 0.44 1/s
16403.6 32162: 0.36 1/s
16463.9 32180: 0.29 1/s
16524.0 32206: 0.44 1/s
16584.1 32225: 0.31 1/s
16644.2 32242: 0.29 1/s
16704.2 32270: 0.46 1/s
16764.5 32290: 0.34 1/s
16824.8 32311: 0.35 1/s
16885.0 32335: 0.40 1/s
16945.2 32352: 0.28 1/s
17005.3 32369: 0.29 1/s
17065.4 32393: 0.40 1/s
17125.5 32413: 0.32 1/s
17185.7 32434: 0.35 1/s
17245.9 32457: 0.39 1/s
17306.2 32473: 0.26 1/s
17366.2 32493: 0.33 1/s
17426.3 32516: 0.39 1/s
17486.4 32535: 0.31 1/s
17546.5 32560: 0.42 1/s
17606.6 32583: 0.39 1/s
17666.8 32604: 0.35 1/s
17727.0 32628: 0.39 1/s
17787.0 32647: 0.31 1/s
17847.1 32665: 0.30 1/s
17907.3 32691: 0.44 1/s
17967.6 32713: 0.35 1/s
18027.6 32736: 0.39 1/s
18087.7 32759: 0.37 1/s
18148.0 32777: 0.31 1/s
18208.3 32801: 0.40 1/s
18268.5 32822: 0.34 1/s
18328.6 32840: 0.30 1/s
18388.6 32867: 0.46 1/s
18448.7 32886: 0.32 1/s
18508.8 32904: 0.29 1/s
18568.8 32932: 0.46 1/s
18629.1 32954: 0.38 1/s
18689.2 32979: 0.40 1/s
18749.3 33003: 0.41 1/s
18809.5 33026: 0.38 1/s
18869.6 33053: 0.46 1/s
18929.8 33069: 0.27 1/s
18989.9 33085: 0.25 1/s
19050.0 33111: 0.44 1/s
19110.1 33132: 0.35 1/s
19170.2 33152: 0.34 1/s
19230.5 33174: 0.36 1/s
19291.2 33189: 0.25 1/s
19351.2 33205: 0.27 1/s
19411.3 33231: 0.43 1/s
19471.3 33249: 0.30 1/s
19531.4 33267: 0.30 1/s
19591.6 33292: 0.41 1/s
19651.7 33312: 0.33 1/s
19711.8 33334: 0.36 1/s
19771.9 33361: 0.46 1/s
19832.1 33381: 0.33 1/s
19892.3 33407: 0.42 1/s
19952.6 33426: 0.33 1/s
20012.6 33446: 0.33 1/s
20072.8 33474: 0.47 1/s
20133.1 33494: 0.33 1/s
20193.1 33514: 0.32 1/s
20253.2 33538: 0.41 1/s
20313.5 33557: 0.31 1/s
20373.6 33576: 0.32 1/s
20433.8 33595: 0.32 1/s
20494.1 33610: 0.25 1/s
20554.6 33625: 0.25 1/s
20614.7 33647: 0.37 1/s
20674.8 33665: 0.30 1/s
20735.0 33682: 0.27 1/s
20795.2 33703: 0.35 1/s
20855.9 33722: 0.32 1/s
20916.1 33735: 0.21 1/s
20976.4 33748: 0.23 1/s
21036.6 33772: 0.40 1/s
21096.9 33792: 0.33 1/s
21157.0 33811: 0.32 1/s
21217.3 33836: 0.41 1/s
21277.4 33858: 0.36 1/s
21337.4 33881: 0.40 1/s
21397.5 33903: 0.36 1/s
21457.8 33918: 0.25 1/s
21518.0 33936: 0.30 1/s
21578.1 33958: 0.37 1/s
21638.3 33975: 0.27 1/s
21698.5 33993: 0.30 1/s
21758.8 34014: 0.35 1/s
21819.0 34031: 0.28 1/s
21879.0 34048: 0.28 1/s
21939.1 34070: 0.37 1/s
21999.4 34087: 0.28 1/s
22059.7 34101: 0.24 1/s
22119.8 34121: 0.32 1/s
22179.9 34139: 0.31 1/s
22239.9 34153: 0.23 1/s
22300.0 34168: 0.25 1/s
22360.1 34193: 0.42 1/s
22420.2 34213: 0.33 1/s
22480.4 34232: 0.32 1/s
22540.6 34253: 0.34 1/s
22600.9 34268: 0.26 1/s
22661.2 34284: 0.26 1/s
22721.4 34307: 0.39 1/s
22781.6 34325: 0.30 1/s
22841.9 34339: 0.24 1/s
22902.0 34357: 0.29 1/s
22962.0 34380: 0.38 1/s
23022.6 34397: 0.28 1/s
23082.6 34418: 0.34 1/s
23142.6 34436: 0.31 1/s
23202.7 34449: 0.22 1/s
23262.7 34462: 0.21 1/s
23323.0 34483: 0.35 1/s
23383.3 34501: 0.29 1/s
23443.6 34516: 0.25 1/s
23503.8 34535: 0.32 1/s
23564.1 34556: 0.35 1/s
23624.3 34572: 0.26 1/s
23684.5 34589: 0.29 1/s
23744.8 34612: 0.39 1/s
23805.3 34627: 0.24 1/s
23865.4 34641: 0.23 1/s
23925.5 34662: 0.34 1/s
23985.8 34682: 0.34 1/s
24045.9 34699: 0.27 1/s
24106.0 34721: 0.38 1/s
24166.1 34740: 0.31 1/s
24226.5 34755: 0.25 1/s
24286.7 34772: 0.28 1/s
24346.8 34795: 0.38 1/s
24407.4 34810: 0.25 1/s
24467.5 34824: 0.23 1/s
24527.7 34843: 0.31 1/s
24587.8 34859: 0.27 1/s
24648.2 34871: 0.21 1/s
24708.4 34885: 0.23 1/s
24768.5 34905: 0.33 1/s
24828.8 34921: 0.28 1/s
24888.9 34936: 0.25 1/s
24949.1 34953: 0.29 1/s
25009.1 34972: 0.31 1/s
25069.2 34986: 0.23 1/s
25129.4 34998: 0.21 1/s
25189.5 35019: 0.35 1/s
25249.6 35039: 0.33 1/s
25310.0 35055: 0.26 1/s
25370.2 35073: 0.30 1/s
25430.4 35095: 0.36 1/s
25490.8 35114: 0.32 1/s
25551.0 35137: 0.38 1/s
25611.1 35159: 0.36 1/s
25671.4 35172: 0.22 1/s
25731.5 35186: 0.23 1/s
25791.9 35211: 0.42 1/s
25852.0 35227: 0.27 1/s
25912.1 35240: 0.22 1/s
25972.1 35258: 0.29 1/s
26032.4 35274: 0.27 1/s
26092.7 35288: 0.22 1/s
26153.0 35301: 0.22 1/s
26213.3 35321: 0.33 1/s
26273.7 35338: 0.29 1/s
26334.0 35351: 0.22 1/s
26394.1 35366: 0.24 1/s
26454.2 35382: 0.28 1/s
26514.2 35399: 0.28 1/s
26574.3 35412: 0.21 1/s
26634.5 35424: 0.21 1/s
26694.6 35449: 0.40 1/s
26754.9 35467: 0.31 1/s
26815.2 35482: 0.25 1/s
26875.2 35507: 0.41 1/s
26935.7 35525: 0.30 1/s
26996.1 35539: 0.23 1/s
27056.3 35558: 0.31 1/s
27116.4 35576: 0.31 1/s
27176.5 35589: 0.22 1/s
27236.8 35603: 0.22 1/s
27297.0 35621: 0.30 1/s
27357.4 35639: 0.30 1/s
27417.5 35655: 0.26 1/s
27477.7 35672: 0.29 1/s
27537.8 35689: 0.29 1/s
27597.9 35703: 0.22 1/s
27658.0 35714: 0.20 1/s
27718.2 35729: 0.25 1/s
27778.2 35750: 0.34 1/s
27838.7 35766: 0.27 1/s
27898.9 35781: 0.24 1/s
27959.1 35800: 0.32 1/s
28019.5 35819: 0.31 1/s
28079.8 35832: 0.22 1/s
28139.8 35846: 0.23 1/s
28199.9 35869: 0.38 1/s
28260.2 35885: 0.28 1/s
28320.3 35899: 0.23 1/s
28380.5 35920: 0.34 1/s
28440.8 35941: 0.34 1/s
28500.9 35955: 0.23 1/s
28561.1 35969: 0.24 1/s
28621.3 35990: 0.36 1/s
28681.5 36005: 0.25 1/s
28741.6 36019: 0.23 1/s
28801.7 36036: 0.29 1/s
28861.9 36056: 0.33 1/s
28922.2 36071: 0.24 1/s
28982.5 36084: 0.22 1/s
29042.8 36099: 0.25 1/s
29103.6 36115: 0.26 1/s
29164.0 36127: 0.20 1/s
29224.3 36138: 0.19 1/s
29284.4 36153: 0.24 1/s
29344.6 36170: 0.29 1/s
29404.6 36184: 0.23 1/s
29465.0 36197: 0.22 1/s
29525.0 36212: 0.24 1/s
29585.3 36228: 0.27 1/s
29645.7 36241: 0.23 1/s
29706.1 36252: 0.18 1/s
29766.3 36264: 0.20 1/s
29826.5 36283: 0.32 1/s
29886.6 36299: 0.27 1/s
29946.9 36311: 0.20 1/s
30007.1 36323: 0.19 1/s
30067.3 36341: 0.29 1/s
30127.5 36359: 0.30 1/s
30187.6 36373: 0.25 1/s
30247.8 36389: 0.25 1/s
30308.0 36408: 0.33 1/s
30368.7 36422: 0.23 1/s
30429.3 36433: 0.18 1/s
30489.4 36445: 0.21 1/s
30549.5 36467: 0.36 1/s
30609.8 36482: 0.25 1/s
30670.2 36494: 0.19 1/s
30730.3 36506: 0.21 1/s
30790.4 36524: 0.29 1/s
30850.8 36539: 0.25 1/s
