# time  ID  size  fromHost  toHost  TTL  isResponse
1185.0000 M237 1000000 S126 S297 400 N 
1190.0000 M238 1000000 S368 S356 400 N 
1195.0000 M239 1000000 S368 S37 400 N 
1200.0000 M240 1000000 S182 S38 400 N 
1205.0000 M241 1000000 S36 S19 400 N 
1210.0000 M242 1000000 S346 S328 400 N 
1215.0000 M243 1000000 S360 S428 400 N 
1220.0000 M244 1000000 S387 S285 400 N 
1225.0000 M245 1000000 S229 S315 400 N 
1230.0000 M246 1000000 S361 S179 400 N 
1235.0000 M247 1000000 S52 S124 400 N 
1240.0000 M248 1000000 S375 S275 400 N 
1245.0000 M249 1000000 S249 S48 400 N 
1250.0000 M250 1000000 S315 S38 400 N 
1255.0000 M251 1000000 S157 S256 400 N 
1260.0000 M252 1000000 S331 S209 400 N 
1265.0000 M253 1000000 S394 S28 400 N 
1270.0000 M254 1000000 S306 S159 400 N 
1275.0000 M255 1000000 S48 S415 400 N 
1280.0000 M256 1000000 S295 S266 400 N 
1285.0000 M257 1000000 S53 S0 400 N 
1290.0000 M258 1000000 S94 S150 400 N 
1295.0000 M259 1000000 S248 S375 400 N 
1300.0000 M260 1000000 S24 S26 400 N 
1305.0000 M261 1000000 S358 S313 400 N 
1310.0000 M262 1000000 S294 S428 400 N 
1315.0000 M263 1000000 S374 S67 400 N 
1320.0000 M264 1000000 S347 S39 400 N 
1325.0000 M265 1000000 S319 S415 400 N 
1330.0000 M266 1000000 S95 S331 400 N 
1335.0000 M267 1000000 S41 S390 400 N 
1340.0000 M268 1000000 S31 S274 400 N 
1345.0000 M269 1000000 S416 S210 400 N 
1350.0000 M270 1000000 S274 S106 400 N 
1355.0000 M271 1000000 S165 S270 400 N 
1360.0000 M272 1000000 S7 S372 400 N 
1365.0000 M273 1000000 S208 S285 400 N 
1370.0000 M274 1000000 S58 S152 400 N 
1375.0000 M275 1000000 S224 S212 400 N 
1380.0000 M276 1000000 S341 S131 400 N 
1385.0000 M277 1000000 S130 S149 400 N 
1390.0000 M278 1000000 S19 S46 400 N 
1395.0000 M279 1000000 S192 S185 400 N 
1400.0000 M280 1000000 S384 S156 400 N 
1405.0000 M281 1000000 S272 S393 400 N 
1410.0000 M282 1000000 S364 S224 400 N 
1415.0000 M283 1000000 S238 S264 400 N 
1420.0000 M284 1000000 S110 S168 400 N 
1425.0000 M285 1000000 S20 S176 400 N 
1430.0000 M286 1000000 S69 S122 400 N 
1435.0000 M287 1000000 S101 S392 400 N 
1440.0000 M288 1000000 S314 S73 400 N 
1445.0000 M289 1000000 S201 S288 400 N 
1450.0000 M290 1000000 S129 S228 400 N 
1455.0000 M291 1000000 S130 S153 400 N 
1460.0000 M292 1000000 S431 S171 400 N 
1465.0000 M293 1000000 S254 S147 400 N 
1470.0000 M294 1000000 S133 S127 400 N 
1475.0000 M295 1000000 S293 S291 400 N 
1480.0000 M296 1000000 S218 S85 400 N 
1485.0000 M297 1000000 S2 S33 400 N 
1490.0000 M298 1000000 S279 S87 400 N 
1495.0000 M299 1000000 S303 S220 400 N 
1500.0000 M300 1000000 S123 S7 400 N 
1505.0000 M301 1000000 S297 S122 400 N 
1510.0000 M302 1000000 S143 S321 400 N 
1515.0000 M303 1000000 S18 S16 400 N 
1520.0000 M304 1000000 S164 S316 400 N 
1525.0000 M305 1000000 S293 S11 400 N 
1530.0000 M306 1000000 S344 S204 400 N 
1535.0000 M307 1000000 S228 S88 400 N 
1540.0000 M308 1000000 S280 S39 400 N 
1545.0000 M309 1000000 S237 S374 400 N 
1550.0000 M310 1000000 S399 S273 400 N 
1555.0000 M311 1000000 S283 S118 400 N 
1560.0000 M312 1000000 S237 S55 400 N 
1565.0000 M313 1000000 S25 S188 400 N 
1570.0000 M314 1000000 S115 S373 400 N 
1575.0000 M315 1000000 S113 S149 400 N 
1580.0000 M316 1000000 S378 S324 400 N 
1585.0000 M317 1000000 S50 S276 400 N 
1590.0000 M318 1000000 S275 S4 400 N 
1595.0000 M319 1000000 S417 S235 400 N 
1600.0000 M320 1000000 S25 S225 400 N 
1605.0000 M321 1000000 S22 S338 400 N 
1610.0000 M322 1000000 S50 S421 400 N 
1615.0000 M323 1000000 S215 S391 400 N 
1620.0000 M324 1000000 S357 S138 400 N 
1625.0000 M325 1000000 S259 S19 400 N 
1630.0000 M326 1000000 S86 S298 400 N 
1635.0000 M327 1000000 S324 S37 400 N 
1640.0000 M328 1000000 S61 S197 400 N 
1645.0000 M329 1000000 S71 S45 400 N 
1650.0000 M330 1000000 S324 S110 400 N 
1655.0000 M331 1000000 S40 S375 400 N 
1660.0000 M332 1000000 S191 S99 400 N 
1665.0000 M333 1000000 S246 S353 400 N 
1670.0000 M334 1000000 S197 S263 400 N 
1675.0000 M335 1000000 S245 S235 400 N 
1680.0000 M336 1000000 S413 S157 400 N 
1685.0000 M337 1000000 S323 S138 400 N 
1690.0000 M338 1000000 S340 S387 400 N 
1695.0000 M339 1000000 S178 S233 400 N 
1700.0000 M340 1000000 S11 S201 400 N 
1705.0000 M341 1000000 S68 S141 400 N 
1710.0000 M342 1000000 S429 S44 400 N 
1715.0000 M343 1000000 S389 S68 400 N 
1720.0000 M344 1000000 S78 S132 400 N 
1725.0000 M345 1000000 S98 S217 400 N 
1730.0000 M346 1000000 S63 S358 400 N 
1735.0000 M347 1000000 S167 S54 400 N 
1740.0000 M348 1000000 S141 S150 400 N 
1745.0000 M349 1000000 S102 S150 400 N 
1750.0000 M350 1000000 S91 S301 400 N 
1755.0000 M351 1000000 S324 S21 400 N 
1760.0000 M352 1000000 S148 S243 400 N 
1765.0000 M353 1000000 S45 S263 400 N 
1770.0000 M354 1000000 S162 S298 400 N 
1775.0000 M355 1000000 S232 S290 400 N 
1780.0000 M356 1000000 S220 S22 400 N 
1785.0000 M357 1000000 S389 S202 400 N 
1790.0000 M358 1000000 S233 S204 400 N 
1795.0000 M359 1000000 S354 S199 400 N 
1800.0000 M360 1000000 S116 S342 400 N 
1805.0000 M361 1000000 S349 S244 400 N 
1810.0000 M362 1000000 S200 S177 400 N 
1815.0000 M363 1000000 S116 S214 400 N 
1820.0000 M364 1000000 S234 S323 400 N 
1825.0000 M365 1000000 S408 S199 400 N 
1830.0000 M366 1000000 S390 S380 400 N 
1835.0000 M367 1000000 S0 S398 400 N 
1840.0000 M368 1000000 S306 S312 400 N 
1845.0000 M369 1000000 S282 S397 400 N 
1850.0000 M370 1000000 S399 S46 400 N 
1855.0000 M371 1000000 S396 S391 400 N 
1860.0000 M372 1000000 S397 S152 400 N 
1865.0000 M373 1000000 S393 S364 400 N 
1870.0000 M374 1000000 S270 S143 400 N 
1875.0000 M375 1000000 S127 S418 400 N 
1880.0000 M376 1000000 S163 S50 400 N 
1885.0000 M377 1000000 S28 S273 400 N 
1890.0000 M378 1000000 S402 S371 400 N 
1895.0000 M379 1000000 S369 S155 400 N 
1900.0000 M380 1000000 S329 S270 400 N 
1905.0000 M381 1000000 S255 S7 400 N 
1910.0000 M382 1000000 S364 S279 400 N 
1915.0000 M383 1000000 S414 S233 400 N 
1920.0000 M384 1000000 S203 S399 400 N 
1925.0000 M385 1000000 S77 S95 400 N 
1930.0000 M386 1000000 S159 S114 400 N 
1935.0000 M387 1000000 S371 S58 400 N 
1940.0000 M388 1000000 S67 S288 400 N 
1945.0000 M389 1000000 S340 S151 400 N 
1950.0000 M390 1000000 S95 S215 400 N 
1955.0000 M391 1000000 S399 S425 400 N 
1960.0000 M392 1000000 S383 S25 400 N 
1965.0000 M393 1000000 S308 S229 400 N 
1970.0000 M394 1000000 S306 S31 400 N 
1975.0000 M395 1000000 S355 S42 400 N 
1980.0000 M396 1000000 S62 S410 400 N 
1985.0000 M397 1000000 S431 S299 400 N 
1990.0000 M398 1000000 S129 S385 400 N 
1995.0000 M399 1000000 S258 S90 400 N 
2000.0000 M400 1000000 S275 S140 400 N 
2005.0000 M401 1000000 S362 S130 400 N 
2010.0000 M402 1000000 S327 S300 400 N 
2015.0000 M403 1000000 S81 S129 400 N 
2020.0000 M404 1000000 S96 S133 400 N 
2025.0000 M405 1000000 S330 S64 400 N 
2030.0000 M406 1000000 S288 S25 400 N 
2035.0000 M407 1000000 S183 S97 400 N 
2040.0000 M408 1000000 S220 S98 400 N 
2045.0000 M409 1000000 S136 S212 400 N 
2050.0000 M410 1000000 S171 S331 400 N 
2055.0000 M411 1000000 S238 S246 400 N 
2060.0000 M412 1000000 S93 S219 400 N 
2065.0000 M413 1000000 S333 S246 400 N 
2070.0000 M414 1000000 S185 S64 400 N 
2075.0000 M415 1000000 S79 S261 400 N 
2080.0000 M416 1000000 S94 S4 400 N 
2085.0000 M417 1000000 S86 S314 400 N 
2090.0000 M418 1000000 S267 S110 400 N 
2095.0000 M419 1000000 S106 S63 400 N 
2100.0000 M420 1000000 S314 S152 400 N 
2105.0000 M421 1000000 S272 S283 400 N 
2110.0000 M422 1000000 S358 S120 400 N 
2115.0000 M423 1000000 S219 S189 400 N 
2120.0000 M424 1000000 S174 S286 400 N 
2125.0000 M425 1000000 S348 S417 400 N 
2130.0000 M426 1000000 S162 S121 400 N 
2135.0000 M427 1000000 S165 S275 400 N 
2140.0000 M428 1000000 S186 S358 400 N 
2145.0000 M429 1000000 S188 S285 400 N 
2150.0000 M430 1000000 S150 S422 400 N 
2155.0000 M431 1000000 S187 S142 400 N 
2160.0000 M432 1000000 S304 S74 400 N 
2165.0000 M433 1000000 S244 S106 400 N 
2170.0000 M434 1000000 S174 S254 400 N 
2175.0000 M435 1000000 S257 S40 400 N 
2180.0000 M436 1000000 S419 S431 400 N 
2185.0000 M437 1000000 S185 S60 400 N 
2190.0000 M438 1000000 S21 S330 400 N 
2195.0000 M439 1000000 S271 S113 400 N 
2200.0000 M440 1000000 S57 S131 400 N 
2205.0000 M441 1000000 S229 S178 400 N 
2210.0000 M442 1000000 S378 S255 400 N 
2215.0000 M443 1000000 S414 S245 400 N 
2220.0000 M444 1000000 S89 S78 400 N 
2225.0000 M445 1000000 S288 S244 400 N 
2230.0000 M446 1000000 S111 S376 400 N 
2235.0000 M447 1000000 S24 S426 400 N 
2240.0000 M448 1000000 S365 S387 400 N 
2245.0000 M449 1000000 S56 S391 400 N 
2250.0000 M450 1000000 S356 S222 400 N 
2255.0000 M451 1000000 S155 S16 400 N 
2260.0000 M452 1000000 S353 S269 400 N 
2265.0000 M453 1000000 S201 S54 400 N 
2270.0000 M454 1000000 S112 S306 400 N 
2275.0000 M455 1000000 S390 S369 400 N 
2280.0000 M456 1000000 S81 S324 400 N 
2285.0000 M457 1000000 S149 S408 400 N 
2290.0000 M458 1000000 S264 S79 400 N 
2295.0000 M459 1000000 S171 S48 400 N 
2300.0000 M460 1000000 S46 S232 400 N 
2305.0000 M461 1000000 S318 S127 400 N 
2310.0000 M462 1000000 S326 S266 400 N 
2315.0000 M463 1000000 S315 S123 400 N 
2320.0000 M464 1000000 S426 S274 400 N 
2325.0000 M465 1000000 S70 S20 400 N 
2330.0000 M466 1000000 S114 S35 400 N 
2335.0000 M467 1000000 S236 S347 400 N 
2340.0000 M468 1000000 S134 S407 400 N 
2345.0000 M469 1000000 S405 S366 400 N 
2350.0000 M470 1000000 S300 S196 400 N 
2355.0000 M471 1000000 S22 S289 400 N 
2360.0000 M472 1000000 S427 S6 400 N 
2365.0000 M473 1000000 S34 S90 400 N 
2370.0000 M474 1000000 S320 S430 400 N 
2375.0000 M475 1000000 S240 S376 400 N 
2380.0000 M476 1000000 S381 S167 400 N 
2385.0000 M477 1000000 S40 S225 400 N 
2390.0000 M478 1000000 S159 S384 400 N 
2395.0000 M479 1000000 S88 S231 400 N 
2400.0000 M480 1000000 S153 S427 400 N 
2405.0000 M481 1000000 S227 S359 400 N 
2410.0000 M482 1000000 S44 S306 400 N 
2415.0000 M483 1000000 S328 S30 400 N 
2420.0000 M484 1000000 S360 S48 400 N 
2425.0000 M485 1000000 S208 S7 400 N 
2430.0000 M486 1000000 S252 S355 400 N 
2435.0000 M487 1000000 S321 S117 400 N 
2440.0000 M488 1000000 S121 S156 400 N 
2445.0000 M489 1000000 S160 S298 400 N 
2450.0000 M490 1000000 S357 S192 400 N 
2455.0000 M491 1000000 S35 S34 400 N 
2460.0000 M492 1000000 S315 S319 400 N 
2465.0000 M493 1000000 S68 S95 400 N 
2470.0000 M494 1000000 S431 S190 400 N 
2475.0000 M495 1000000 S418 S129 400 N 
2480.0000 M496 1000000 S47 S339 400 N 
2485.0000 M497 1000000 S338 S193 400 N 
2490.0000 M498 1000000 S85 S221 400 N 
2495.0000 M499 1000000 S386 S347 400 N 
2500.0000 M500 1000000 S106 S189 400 N 
2505.0000 M501 1000000 S318 S134 400 N 
2510.0000 M502 1000000 S293 S52 400 N 
2515.0000 M503 1000000 S204 S34 400 N 
2520.0000 M504 1000000 S336 S91 400 N 
2525.0000 M505 1000000 S257 S156 400 N 
2530.0000 M506 1000000 S91 S185 400 N 
2535.0000 M507 1000000 S359 S208 400 N 
2540.0000 M508 1000000 S426 S309 400 N 
2545.0000 M509 1000000 S118 S188 400 N 
2550.0000 M510 1000000 S329 S264 400 N 
2555.0000 M511 1000000 S174 S109 400 N 
2560.0000 M512 1000000 S192 S173 400 N 
2565.0000 M513 1000000 S375 S9 400 N 
2570.0000 M514 1000000 S162 S73 400 N 
2575.0000 M515 1000000 S240 S360 400 N 
2580.0000 M516 1000000 S127 S33 400 N 
2585.0000 M517 1000000 S372 S31 400 N 
2590.0000 M518 1000000 S426 S380 400 N 
2595.0000 M519 1000000 S90 S394 400 N 
2600.0000 M520 1000000 S180 S86 400 N 
2605.0000 M521 1000000 S187 S54 400 N 
2610.0000 M522 1000000 S311 S125 400 N 
2615.0000 M523 1000000 S335 S24 400 N 
2620.0000 M524 1000000 S143 S236 400 N 
2625.0000 M525 1000000 S288 S205 400 N 
2630.0000 M526 1000000 S322 S66 400 N 
2635.0000 M527 1000000 S336 S191 400 N 
2640.0000 M528 1000000 S385 S302 400 N 
2645.0000 M529 1000000 S87 S97 400 N 
2650.0000 M530 1000000 S310 S329 400 N 
2655.0000 M531 1000000 S20 S152 400 N 
2660.0000 M532 1000000 S93 S384 400 N 
2665.0000 M533 1000000 S404 S102 400 N 
2670.0000 M534 1000000 S320 S413 400 N 
2675.0000 M535 1000000 S289 S3 400 N 
2680.0000 M536 1000000 S10 S145 400 N 
2685.0000 M537 1000000 S129 S90 400 N 
2690.0000 M538 1000000 S189 S0 400 N 
2695.0000 M539 1000000 S144 S317 400 N 
2700.0000 M540 1000000 S190 S121 400 N 
2705.0000 M541 1000000 S392 S198 400 N 
2710.0000 M542 1000000 S46 S224 400 N 
2715.0000 M543 1000000 S92 S332 400 N 
2720.0000 M544 1000000 S180 S425 400 N 
2725.0000 M545 1000000 S228 S286 400 N 
2730.0000 M546 1000000 S22 S67 400 N 
2735.0000 M547 1000000 S99 S239 400 N 
2740.0000 M548 1000000 S247 S351 400 N 
2745.0000 M549 1000000 S4 S382 400 N 
2750.0000 M550 1000000 S26 S284 400 N 
2755.0000 M551 1000000 S403 S224 400 N 
2760.0000 M552 1000000 S20 S81 400 N 
2765.0000 M553 1000000 S216 S220 400 N 
2770.0000 M554 1000000 S400 S70 400 N 
