# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2263.0000 M159 5000000 6 1786.0000 S80 S205 370 N S80->S164->3_234->S100->S33->7_275->S205
2265.0000 M76 5000000 4 2037.0000 S58 S173 366 N S58->3_234->S206->6T_260->S173
2265.6000 M617 5000000 5 414.6000 S112 S156 393 N S112->9_305->S151->S187->2_227->S156
2266.6000 M448 5000000 2 922.6000 S161 S156 384 N S161->2_227->S156
2278.6000 M151 5000000 5 1825.6000 S205 S209 369 N S205->9_305->S151->S187->2_227->S209
2297.5000 M6 5000000 4 2279.5000 S47 S183 362 N S47->3_235->S100->7_276->S183
2299.0000 M179 5000000 3 1762.0000 S112 S75 370 N S112->9_306->9_305->S75
2303.0000 M311 5000000 2 1370.0000 S1 S97 377 N S1->9_305->S97
2303.8000 M196 5000000 5 1715.8000 S40 S168 371 N S40->S81->7_276->S65->7_275->S168
2304.4000 M82 5000000 4 2058.4000 S64 S29 365 N S64->2_225->S135->6T_260->S29
2304.8000 M68 5000000 3 2100.8000 S96 S168 364 N S96->S83->7_275->S168
2305.4000 M606 5000000 2 487.4000 S135 S29 391 N S135->6T_260->S29
2306.4000 M15 5000000 4 2261.4000 S145 S78 362 N S145->9_305->S154->6T_260->S78
2307.6000 M248 5000000 4 1563.6000 S111 S5 373 N S111->4_245->S8->3_236->S5
2328.1000 M93 5000000 4 2049.1000 S42 S152 365 N S42->9_305->S112->7_277->S152
2329.4000 M301 5000000 4 1426.4000 S3 S158 376 N S3->7_276->S33->9_306->S158
2330.4000 M390 5000000 2 1160.4000 S41 S158 380 N S41->9_306->S158
2347.5000 M395 5000000 4 1162.5000 S82 S24 380 N S82->S163->9_306->3_235->S24
2348.5000 M162 5000000 4 1862.5000 S168 S24 368 N S168->9_305->S100->3_235->S24
2362.4000 M592 5000000 2 586.4000 S135 S4 390 N S135->6T_260->S4
2363.4000 M330 5000000 2 1373.4000 S135 S68 377 N S135->6T_260->S68
2364.4000 M187 5000000 6 1803.4000 S207 S68 369 N S207->S211->S20->9_305->S154->6T_260->S68
2389.6000 M261 5000000 7 1606.6000 S7 S175 373 N S7->S211->S20->9_305->S154->S9->9_306->S175
2390.6000 M294 5000000 2 1508.6000 S163 S175 374 N S163->9_306->S175
2408.1000 M50 5000000 4 2258.1000 S164 S21 362 N S164->3_234->S100->3_235->S21
2418.2000 M67 5000000 4 2217.2000 S183 S161 363 N S183->7_275->S100->7_276->S161
2418.8000 M339 5000000 4 1401.8000 S151 S95 376 N S151->6T_260->S42->9_305->S95
2419.1000 M427 5000000 4 1138.1000 S96 S140 381 N S96->S83->9_306->3_235->S140
2420.1000 M28 5000000 6 2336.1000 S61 S140 361 N S61->4_244->S151->7_275->S9->3_235->S140
2424.8000 M95 5000000 8 2139.8000 S137 S185 364 N S137->2_225->S151->7_275->S112->9_306->S42->9_305->S185
2428.2000 M399 5000000 4 1231.2000 S141 S87 379 N S141->2_225->S135->6T_260->S87
2452.5000 M98 5000000 6 2158.5000 S113 S1 364 N S113->4_244->S151->7_275->S112->9_306->S1
2453.5000 M350 5000000 2 1403.5000 S94 S1 376 N S94->9_306->S1
2454.5000 M198 5000000 5 1860.5000 S22 S1 368 N S22->S89->3_234->S9->9_306->S1
2455.5000 M118 5000000 5 2101.5000 S200 S1 364 N S200->S3->7_276->S94->9_306->S1
2472.8000 M106 5000000 4 2154.8000 S55 S11 364 N S55->7_275->S9->3_235->S11
2473.8000 M293 5000000 2 1594.8000 S107 S204 373 N S107->3_235->S204
2474.8000 M56 5000000 3 2306.8000 S33 S204 361 N S33->S100->3_235->S204
2497.0000 M254 5000000 3 1735.0000 S123 S132 371 N S123->S127->4_247->S132
2499.7000 M91 5000000 6 2226.7000 S58 S136 362 N S58->3_234->S187->4_245->S113->2_227->S136
2500.7000 M168 5000000 5 1996.7000 S127 S197 366 N S127->4_245->S132->S161->2_227->S197
2507.2000 M346 5000000 5 1469.2000 S126 S145 375 N S126->S196->3_235->S94->9_306->S145
2508.9000 M786 5000000 3 150.9000 S148 S83 397 N S148->S97->9_308->S83
2509.3000 M362 5000000 3 1423.3000 S44 S198 376 N S44->4_247->3_234->S198
2514.5000 M435 5000000 3 1209.5000 S176 S100 379 N S176->S150->3_236->S100
2515.5000 M461 5000000 2 1132.5000 S93 S100 381 N S93->3_236->S100
2530.9000 M444 5000000 4 1198.9000 S149 S18 380 N S149->S84->9_306->3_235->S18
2535.9000 M287 5000000 4 1674.9000 S206 S86 372 N S206->6T_260->S9->3_235->S86
2536.9000 M191 5000000 6 1963.9000 S202 S86 367 N S202->2_224->S20->9_305->S104->3_235->S86
2547.2000 M415 5000000 3 1302.2000 S127 S126 378 N S127->4_247->3_234->S126
2567.6000 M259 5000000 4 1790.6000 S47 S108 370 N S47->3_235->S8->4_247->S108
2572.6000 M455 5000000 4 1207.6000 S156 S57 379 N S156->2_224->S134->4_247->S57
2574.5000 M317 5000000 5 1623.5000 S158 S30 372 N S158->9_305->S151->S187->2_227->S30
2580.9000 M138 5000000 4 2166.9000 S208 S47 363 N S208->4_246->S8->3_236->S47
2590.4000 M479 5000000 2 1153.4000 S85 S51 380 N S85->3_234->S51
2598.5000 M468 5000000 2 1194.5000 S47 S176 380 N S47->3_235->S176
2599.5000 M81 5000000 2 2356.5000 S107 S150 360 N S107->3_235->S150
2600.5000 M192 5000000 3 2024.5000 S123 S150 366 N S123->S127->3_235->S150
2603.1000 M32 5000000 2 2507.1000 S81 S117 358 N S81->7_276->S117
2625.3000 M481 5000000 4 1182.3000 S155 S119 380 N S155->9_306->S93->3_236->S119
2636.1000 M553 5000000 3 977.1000 S33 S151 383 N S33->S100->7_276->S151
2641.0000 M880 5000000 1 1.0000 S108 S57 399 N S108->S57
2642.1000 M115 5000000 2 2297.1000 S16 S187 361 N S16->7_276->S187
2654.6000 M119 5000000 5 2297.6000 S155 S17 361 N S155->S142->7_275->S9->3_235->S17
2657.6000 M327 5000000 5 1676.6000 S108 S124 372 N S108->S57->4_246->S8->3_236->S124
2660.6000 M676 5000000 3 632.6000 S206 S155 389 N S206->7_277->7_276->S155
2663.7000 M9 5000000 6 2636.7000 S211 S180 356 N S211->S207->2_224->S187->S151->4_245->S180
2673.7000 M384 5000000 2 1521.7000 S77 S102 374 N S77->2_226->S102
2674.7000 M289 5000000 3 1807.7000 S192 S102 369 N S192->S72->2_226->S102
2698.4000 M267 5000000 3 1897.4000 S17 S51 368 N S17->S157->3_236->S51
2699.4000 M149 5000000 3 2252.4000 S17 S51 362 N S17->S157->3_236->S51
2700.4000 M284 5000000 3 1848.4000 S17 S51 369 N S17->S157->3_236->S51
2729.6000 M345 5000000 2 1694.6000 S5 S82 371 N S5->7_276->S82
2743.7000 M110 5000000 4 2413.7000 S47 S61 359 N S47->3_235->S8->4_247->S61
2744.7000 M4 5000000 4 2732.7000 S202 S61 354 N S202->2_224->S134->4_247->S61
2747.7000 M622 5000000 3 881.7000 S113 S92 385 N S113->S134->4_247->S92
2748.4000 M349 5000000 5 1701.4000 S183 S126 371 N S183->7_275->S5->S93->3_236->S126
2750.5000 M16 5000000 5 2702.5000 S21 S73 354 N S21->S210->3_234->S8->2_227->S73
2752.4000 M597 5000000 2 961.4000 S58 S196 383 N S58->3_236->S196
2753.4000 M7 5000000 4 2732.4000 S207 S196 354 N S207->2_224->S151->3_236->S196
2781.7000 M285 5000000 3 1926.7000 S104 S149 367 N S104->6T_260->7_276->S149
2783.7000 M215 5000000 2 2138.7000 S62 S118 364 N S62->4_247->S118
