# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4514.9000 M189 5000000 3 3569.9000 S195 S187 540 N S195->S115->3_235->S187
4525.6000 M285 5000000 4 3100.6000 S104 S149 548 N S104->7_275->S205->9_306->S149
4555.1000 M302 5000000 5 3045.1000 S71 S138 549 N S71->7_277->S134->S113->4_247->S138
4557.0000 M422 5000000 3 2447.0000 S211 S201 559 N S211->S207->7_279->S201
4562.0000 M72 5000000 6 4202.0000 S52 S201 529 N S52->3_235->9_305->S96->S83->7_279->S201
4578.3000 M565 5000000 4 1753.3000 S137 S189 570 N S137->2_224->S8->3_237->S189
4603.9000 M86 5000000 6 4173.9000 S163 S137 530 N S163->S82->6T_260->S173->S32->2_225->S137
4615.6000 M178 5000000 2 3725.6000 S199 S44 537 N S199->4_247->S44
4620.6000 M231 5000000 8 3465.6000 S40 S44 542 N S40->S81->7_276->S112->7_279->S134->S113->4_247->S44
4640.1000 M313 5000000 5 3075.1000 S55 S83 548 N S55->3_236->S33->S100->9_306->S83
4752.4000 M162 5000000 5 3942.4000 S168 S24 534 N S168->7_276->S104->S55->3_236->S24
4782.4000 M740 5000000 3 1082.4000 S31 S64 581 N S31->S14->2_226->S64
4852.7000 M969 5000000 1 7.7000 S102 S64 599 N S102->S64
4856.3000 M118 5000000 5 4266.3000 S200 S1 528 N S200->7_278->S5->S93->9_305->S1
4899.3000 M614 5000000 2 1829.3000 S63 S132 569 N S63->4_245->S132
4912.8000 M786 5000000 2 982.8000 S148 S83 583 N S148->9_307->S83
4913.4000 M690 5000000 3 1463.4000 S23 S85 575 N S23->S122->3_237->S85
4919.0000 M461 5000000 2 2614.0000 S93 S100 556 N S93->3_235->S100
4948.8000 M451 5000000 3 2693.8000 S185 S205 555 N S185->S129->9_305->S205
4949.5000 M597 5000000 2 1964.5000 S58 S196 567 N S58->3_237->S196
4980.9000 M337 5000000 3 3295.9000 S197 S141 545 N S197->S136->2_226->S141
5003.4000 M396 5000000 6 3023.4000 S185 S176 549 N S185->S129->9_305->S59->S42->3_236->S176
5008.4000 M468 5000000 3 2668.4000 S47 S176 555 N S47->S94->3_236->S176
5018.9000 M729 5000000 3 1373.9000 S176 S7 577 N S176->S150->3_235->S7
5039.7000 M643 5000000 2 1824.7000 S137 S74 569 N S137->2_226->S74
5044.7000 M628 5000000 2 1904.7000 S136 S74 568 N S136->2_226->S74
5067.8000 M95 5000000 7 4592.8000 S137 S185 523 N S137->S190->2_225->S132->7_275->S94->9_306->S185
5071.0000 M78 5000000 9 4681.0000 S149 S180 521 N S149->S84->7_275->S142->S155->7_277->S132->S161->4_246->S180
5103.2000 M30 5000000 2 4953.2000 S101 S211 517 N S101->3_237->S211
5130.8000 M92 5000000 6 4670.8000 S184 S133 522 N S184->3_235->S100->7_278->S113->4_246->S133
5132.7000 M284 5000000 2 3712.7000 S17 S51 538 N S17->3_235->S51
5148.0000 M110 5000000 9 4598.0000 S47 S61 523 N S47->9_305->S41->9_308->S148->S97->7_279->S134->4_245->S61
5244.1000 M529 5000000 3 2599.1000 S18 S130 556 N S18->S86->3_235->S130
5247.4000 M711 5000000 3 1692.4000 S23 S9 571 N S23->S122->3_237->S9
5265.6000 M782 5000000 2 1355.6000 S137 S7 577 N S137->2_226->S7
5294.8000 M108 5000000 5 4754.8000 S135 S96 520 N S135->2_226->S134->S113->7_275->S96
5299.8000 M186 5000000 2 4369.8000 S65 S83 527 N S65->7_275->S83
