# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3713.5000 M168 5000000 4 2873.5000 S127 S197 352 N S127->4_247->S113->2_224->S197
3732.7000 M72 5000000 6 3372.7000 S52 S201 343 N S52->3_235->S94->9_306->S194->7_275->S201
3735.7000 M444 5000000 5 1515.7000 S149 S18 374 N S149->S84->9_308->S42->3_234->S18
3743.7000 M435 5000000 3 1568.7000 S176 S100 373 N S176->S150->3_237->S100
3754.8000 M415 5000000 2 1679.8000 S127 S126 372 N S127->3_236->S126
3802.9000 M81 5000000 2 3397.9000 S107 S150 343 N S107->3_234->S150
3807.9000 M396 5000000 5 1827.9000 S185 S176 369 N S185->S129->9_308->S42->3_234->S176
3810.3000 M32 5000000 2 3650.3000 S81 S117 339 N S81->7_278->S117
3824.7000 M669 5000000 2 479.7000 S183 S55 392 N S183->7_279->S55
3829.7000 M20 5000000 4 3729.7000 S98 S104 337 N S98->2_224->S134->7_279->S104
3834.4000 M176 5000000 5 2954.4000 S154 S181 350 N S154->S9->7_276->S132->2_224->S181
3834.7000 M41 5000000 5 3629.7000 S77 S15 339 N S77->S202->2_224->S134->4_246->S15
3834.7000 M124 5000000 6 3214.7000 S174 S55 346 N S174->S208->4_245->S113->S134->7_279->S55
3839.4000 M381 5000000 5 1934.4000 S123 S181 367 N S123->S127->4_246->S116->2_224->S181
3844.4000 M408 5000000 4 1804.4000 S112 S74 369 N S112->7_277->S161->2_224->S74
3870.6000 M9 5000000 9 3825.6000 S211 S180 336 N S211->S20->2_224->S124->2_225->S131->2_226->S113->4_247->S180
3878.3000 M384 5000000 2 1958.3000 S77 S102 367 N S77->2_225->S102
3879.2000 M329 5000000 2 2234.2000 S134 S9 362 N S134->7_279->S9
3916.4000 M138 5000000 3 3226.4000 S208 S47 346 N S208->4_245->3_236->S47
3916.6000 M183 5000000 6 3001.6000 S5 S20 349 N S5->S93->3_236->S207->S7->S211->S20
3926.0000 M470 5000000 2 1576.0000 S57 S103 373 N S57->4_247->S103
3947.1000 M4 5000000 4 3927.1000 S202 S61 334 N S202->2_224->S134->4_246->S61
3952.1000 M622 5000000 3 842.1000 S113 S92 385 N S113->S134->4_246->S92
3955.2000 M545 5000000 4 1230.2000 S63 S73 379 N S63->4_246->S116->2_224->S73
3960.2000 M255 5000000 5 2685.2000 S75 S73 355 N S75->S97->7_277->S161->2_224->S73
3971.2000 M597 5000000 2 986.2000 S58 S196 383 N S58->3_237->S196
4014.1000 M327 5000000 5 2379.1000 S108 S124 360 N S108->S57->4_245->S113->2_224->S124
4042.1000 M503 5000000 3 1527.1000 S189 S154 374 N S189->S172->3_236->S154
4058.3000 M392 5000000 2 2098.3000 S170 S94 365 N S170->7_279->S94
4092.9000 M83 5000000 5 3677.9000 S156 S111 338 N S156->2_225->S141->S30->4_247->S111
4097.9000 M348 5000000 3 2357.9000 S0 S111 360 N S0->7_279->4_247->S111
4139.5000 M202 5000000 2 3129.5000 S133 S199 347 N S133->4_247->S199
4166.1000 M258 5000000 2 2876.1000 S124 S144 352 N S124->2_225->S144
4183.8000 M147 5000000 4 3448.8000 S109 S131 342 N S109->4_247->S116->2_224->S131
4191.7000 M786 5000000 3 261.7000 S148 S83 395 N S148->S97->7_276->S83
4247.7000 M534 5000000 3 1577.7000 S170 S59 373 N S170->7_279->9_306->S59
4249.7000 M130 5000000 5 3599.7000 S18 S14 340 N S18->S86->3_236->S8->2_226->S14
4251.7000 M290 5000000 5 2801.7000 S45 S114 353 N S45->S26->4_245->S132->2_224->S114
4305.4000 M156 5000000 4 3525.4000 S39 S127 341 N S39->7_276->S132->4_247->S127
4305.7000 M286 5000000 2 2875.7000 S96 S149 352 N S96->7_276->S149
4340.7000 M376 5000000 3 2460.7000 S40 S50 358 N S40->S81->7_278->S50
4344.1000 M3 5000000 4 4329.1000 S131 S76 327 N S131->2_224->S14->4_247->S76
4349.1000 M247 5000000 4 3114.1000 S100 S76 348 N S100->S33->3_237->4_247->S76
4354.1000 M145 5000000 3 3629.1000 S150 S76 339 N S150->3_237->4_247->S76
4354.8000 M527 5000000 4 1719.8000 S111 S206 371 N S111->4_245->3_236->9_306->S206
4354.8000 M429 5000000 3 2209.8000 S47 S117 363 N S47->S94->3_236->S117
4359.1000 M154 5000000 4 3589.1000 S204 S76 340 N S204->S11->3_237->4_247->S76
4372.6000 M716 5000000 2 792.6000 S143 S202 386 N S143->2_227->S202
4400.8000 M553 5000000 3 1635.8000 S33 S151 372 N S33->S100->3_236->S151
4405.0000 M880 5000000 1 5.0000 S108 S57 399 N S108->S57
4423.7000 M14 5000000 3 4353.7000 S192 S38 327 N S192->S72->2_224->S38
4433.7000 M679 5000000 2 1038.7000 S116 S143 382 N S116->2_224->S143
4456.5000 M219 5000000 2 3361.5000 S65 S104 343 N S65->7_275->S104
4464.6000 M461 5000000 2 2159.6000 S93 S100 364 N S93->9_305->S100
4469.6000 M678 5000000 2 1079.6000 S129 S100 382 N S129->9_305->S100
4474.6000 M755 5000000 3 699.6000 S149 S100 388 N S149->S84->9_305->S100
4491.7000 M454 5000000 3 2221.7000 S148 S117 362 N S148->S97->7_276->S117
4494.6000 M92 5000000 4 4034.6000 S184 S133 332 N S184->3_236->S127->4_245->S133
4608.9000 M175 5000000 7 3733.9000 S201 S190 337 N S201->7_276->S40->S81->7_278->S132->2_225->S190
4615.6000 M178 5000000 2 3725.6000 S199 S44 337 N S199->4_247->S44
4635.4000 M59 5000000 3 4340.4000 S65 S93 327 N S65->7_275->S5->S93
4641.4000 M298 5000000 6 3151.4000 S15 S105 347 N S15->S28->4_245->3_236->S104->9_305->S105
4665.5000 M856 5000000 2 385.5000 S111 S187 393 N S111->4_245->S187
4670.3000 M617 5000000 4 1585.3000 S112 S156 373 N S112->7_279->S113->2_226->S156
4679.9000 M549 5000000 4 1934.9000 S172 S88 367 N S172->3_236->S104->9_305->S88
4700.7000 M54 5000000 4 4430.7000 S8 S183 326 N S8->3_234->S104->7_275->S183
4702.9000 M774 5000000 3 832.9000 S59 S75 386 N S59->S42->9_306->S75
4731.9000 M93 5000000 4 4266.9000 S42 S152 328 N S42->9_305->S97->7_276->S152
4736.9000 M188 5000000 6 3796.9000 S108 S152 336 N S108->S57->4_246->S199->4_247->7_276->S152
4810.5000 M261 5000000 4 3505.5000 S7 S175 341 N S7->S211->S20->9_305->S175
4818.3000 M506 5000000 4 2288.3000 S97 S14 361 N S97->7_276->S132->4_246->S14
4832.4000 M826 5000000 3 702.4000 S156 S102 388 N S156->S209->2_226->S102
4843.4000 M275 5000000 3 3468.4000 S14 S134 342 N S14->S31->4_245->S134
4848.4000 M12 5000000 5 4788.4000 S101 S134 320 N S101->S24->3_234->S8->4_245->S134
4850.0000 M969 5000000 1 5.0000 S102 S64 399 N S102->S64
4853.4000 M577 5000000 2 1968.4000 S186 S113 367 N S186->4_245->S113
4858.4000 M759 5000000 2 1063.4000 S44 S113 382 N S44->4_245->S113
4877.1000 M566 5000000 3 2047.1000 S5 S204 365 N S5->S93->3_236->S204
4887.8000 M374 5000000 5 3017.8000 S147 S185 349 N S147->S16->7_275->S205->9_306->S185
4899.3000 M614 5000000 2 1829.3000 S63 S132 369 N S63->4_245->S132
4903.1000 M91 5000000 4 4448.1000 S58 S136 325 N S58->3_234->S8->2_226->S136
4911.3000 M346 5000000 4 3181.3000 S126 S145 346 N S126->3_236->S104->9_305->S145
4936.3000 M488 5000000 2 2496.3000 S22 S18 358 N S22->3_236->S18
4948.8000 M451 5000000 3 2693.8000 S185 S205 355 N S185->S95->9_305->S205
5003.4000 M468 5000000 3 2663.4000 S47 S176 355 N S47->S94->3_236->S176
5003.6000 M847 5000000 2 768.6000 S198 S121 387 N S198->3_237->S121
5008.4000 M297 5000000 3 3523.4000 S89 S150 341 N S89->S22->3_236->S150
5018.9000 M729 5000000 3 1373.9000 S176 S7 377 N S176->S150->3_235->S7
5039.7000 M643 5000000 2 1824.7000 S137 S74 369 N S137->2_226->S74
