# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6714.4000 M1966 5000000 3 816.4000 S197 S77 586 N S197->S136->2_225->S77
6733.3000 M1633 5000000 3 1834.3000 S95 S55 569 N S95->S185->9_306->S55
6823.8000 M353 5000000 5 5764.8000 S201 S38 503 N S201->7_278->S161->S132->2_225->S38
6824.3000 M1273 5000000 2 3005.3000 S62 S19 549 N S62->4_247->S19
6829.6000 M432 5000000 5 5533.6000 S82 S2 507 N S82->7_277->S134->S113->2_227->S2
6837.2000 M1479 5000000 3 2400.2000 S110 S49 559 N S110->S180->4_245->S49
6841.0000 M1539 5000000 4 2224.0000 S124 S31 562 N S124->2_226->S77->2_224->S31
6846.0000 M1820 5000000 2 1386.0000 S202 S14 576 N S202->2_224->S14
6903.0000 M1375 5000000 3 2778.0000 S104 S127 553 N S104->S55->3_235->S127
6934.9000 M910 5000000 3 4204.9000 S116 S64 529 N S116->S141->2_228->S64
6949.2000 M1390 5000000 6 2779.2000 S124 S161 553 N S124->2_226->S7->S211->S20->2_224->S161
6972.6000 M1532 5000000 2 2376.6000 S63 S28 560 N S63->4_247->S28
6977.6000 M239 5000000 5 6260.6000 S98 S28 495 N S98->2_226->S141->S30->4_247->S28
