# time  ID  size  fromHost  toHost  TTL  isResponse
1290.0000 M258 5000000 S8 S40 600 N 
1295.0000 M259 5000000 S23 S45 600 N 
1300.0000 M260 5000000 S56 S16 600 N 
1305.0000 M261 5000000 S30 S22 600 N 
1310.0000 M262 5000000 S25 S43 600 N 
1315.0000 M263 5000000 S57 S19 600 N 
1320.0000 M264 5000000 S15 S13 600 N 
1325.0000 M265 5000000 S3 S50 600 N 
1330.0000 M266 5000000 S46 S4 600 N 
1335.0000 M267 5000000 S24 S3 600 N 
1340.0000 M268 5000000 S1 S48 600 N 
1345.0000 M269 5000000 S53 S39 600 N 
1350.0000 M270 5000000 S24 S43 600 N 
1355.0000 M271 5000000 S38 S8 600 N 
1360.0000 M272 5000000 S7 S18 600 N 
1365.0000 M273 5000000 S39 S16 600 N 
1370.0000 M274 5000000 S29 S20 600 N 
1375.0000 M275 5000000 S46 S19 600 N 
1380.0000 M276 5000000 S5 S2 600 N 
1385.0000 M277 5000000 S59 S12 600 N 
1390.0000 M278 5000000 S17 S49 600 N 
1395.0000 M279 5000000 S14 S44 600 N 
1400.0000 M280 5000000 S19 S3 600 N 
1405.0000 M281 5000000 S38 S42 600 N 
1410.0000 M282 5000000 S56 S5 600 N 
1415.0000 M283 5000000 S31 S39 600 N 
1420.0000 M284 5000000 S6 S50 600 N 
1425.0000 M285 5000000 S40 S29 600 N 
1430.0000 M286 5000000 S30 S40 600 N 
1435.0000 M287 5000000 S1 S52 600 N 
1440.0000 M288 5000000 S28 S8 600 N 
1445.0000 M289 5000000 S41 S46 600 N 
1450.0000 M290 5000000 S47 S33 600 N 
1455.0000 M291 5000000 S25 S49 600 N 
1460.0000 M292 5000000 S54 S30 600 N 
1465.0000 M293 5000000 S23 S35 600 N 
1470.0000 M294 5000000 S34 S21 600 N 
1475.0000 M295 5000000 S20 S39 600 N 
1480.0000 M296 5000000 S3 S30 600 N 
1485.0000 M297 5000000 S13 S32 600 N 
1490.0000 M298 5000000 S11 S16 600 N 
1495.0000 M299 5000000 S52 S23 600 N 
1500.0000 M300 5000000 S16 S6 600 N 
1505.0000 M301 5000000 S40 S15 600 N 
1510.0000 M302 5000000 S60 S2 600 N 
1515.0000 M303 5000000 S50 S56 600 N 
1520.0000 M304 5000000 S53 S26 600 N 
1525.0000 M305 5000000 S4 S16 600 N 
1530.0000 M306 5000000 S37 S40 600 N 
1535.0000 M307 5000000 S9 S54 600 N 
1540.0000 M308 5000000 S21 S22 600 N 
1545.0000 M309 5000000 S47 S39 600 N 
1550.0000 M310 5000000 S53 S12 600 N 
1555.0000 M311 5000000 S54 S38 600 N 
1560.0000 M312 5000000 S29 S36 600 N 
1565.0000 M313 5000000 S0 S19 600 N 
1570.0000 M314 5000000 S42 S18 600 N 
1575.0000 M315 5000000 S14 S27 600 N 
1580.0000 M316 5000000 S3 S6 600 N 
1585.0000 M317 5000000 S45 S17 600 N 
1590.0000 M318 5000000 S38 S24 600 N 
1595.0000 M319 5000000 S22 S2 600 N 
1600.0000 M320 5000000 S5 S36 600 N 
1605.0000 M321 5000000 S33 S38 600 N 
1610.0000 M322 5000000 S43 S60 600 N 
1615.0000 M323 5000000 S40 S45 600 N 
1620.0000 M324 5000000 S41 S57 600 N 
1625.0000 M325 5000000 S7 S23 600 N 
1630.0000 M326 5000000 S11 S49 600 N 
1635.0000 M327 5000000 S8 S43 600 N 
1640.0000 M328 5000000 S49 S58 600 N 
1645.0000 M329 5000000 S48 S9 600 N 
1650.0000 M330 5000000 S35 S38 600 N 
1655.0000 M331 5000000 S39 S47 600 N 
1660.0000 M332 5000000 S27 S2 600 N 
1665.0000 M333 5000000 S56 S21 600 N 
1670.0000 M334 5000000 S21 S43 600 N 
1675.0000 M335 5000000 S24 S37 600 N 
1680.0000 M336 5000000 S52 S1 600 N 
1685.0000 M337 5000000 S24 S42 600 N 
1690.0000 M338 5000000 S59 S48 600 N 
1695.0000 M339 5000000 S38 S48 600 N 
1700.0000 M340 5000000 S39 S12 600 N 
1705.0000 M341 5000000 S19 S13 600 N 
1710.0000 M342 5000000 S2 S20 600 N 
1715.0000 M343 5000000 S4 S53 600 N 
1720.0000 M344 5000000 S36 S47 600 N 
1725.0000 M345 5000000 S54 S11 600 N 
1730.0000 M346 5000000 S12 S31 600 N 
1735.0000 M347 5000000 S46 S60 600 N 
1740.0000 M348 5000000 S45 S6 600 N 
1745.0000 M349 5000000 S35 S56 600 N 
1750.0000 M350 5000000 S6 S41 600 N 
1755.0000 M351 5000000 S5 S34 600 N 
1760.0000 M352 5000000 S57 S46 600 N 
1765.0000 M353 5000000 S43 S50 600 N 
1770.0000 M354 5000000 S11 S9 600 N 
1775.0000 M355 5000000 S19 S26 600 N 
1780.0000 M356 5000000 S43 S45 600 N 
