# time  ID  size  fromHost  toHost  TTL  isResponse
606.0000 M202 1000000 S133 S199 600 N 
609.0000 M203 1000000 S149 S22 600 N 
612.0000 M204 1000000 S97 S170 600 N 
615.0000 M205 1000000 S32 S15 600 N 
618.0000 M206 1000000 S101 S82 600 N 
621.0000 M207 1000000 S5 S140 600 N 
624.0000 M208 1000000 S85 S200 600 N 
627.0000 M209 1000000 S79 S107 600 N 
630.0000 M210 1000000 S6 S25 600 N 
633.0000 M211 1000000 S43 S117 600 N 
636.0000 M212 1000000 S11 S74 600 N 
639.0000 M213 1000000 S34 S46 600 N 
642.0000 M214 1000000 S138 S21 600 N 
645.0000 M215 1000000 S62 S118 600 N 
648.0000 M216 1000000 S13 S32 600 N 
651.0000 M217 1000000 S186 S146 600 N 
654.0000 M218 1000000 S147 S128 600 N 
657.0000 M219 1000000 S65 S104 600 N 
660.0000 M220 1000000 S127 S211 600 N 
663.0000 M221 1000000 S10 S103 600 N 
666.0000 M222 1000000 S144 S14 600 N 
669.0000 M223 1000000 S104 S43 600 N 
672.0000 M224 1000000 S130 S69 600 N 
675.0000 M225 1000000 S164 S68 600 N 
678.0000 M226 1000000 S27 S177 600 N 
681.0000 M227 1000000 S182 S87 600 N 
684.0000 M228 1000000 S148 S151 600 N 
687.0000 M229 1000000 S7 S5 600 N 
690.0000 M230 1000000 S200 S184 600 N 
693.0000 M231 1000000 S40 S44 600 N 
696.0000 M232 1000000 S102 S59 600 N 
699.0000 M233 1000000 S32 S58 600 N 
702.0000 M234 1000000 S23 S76 600 N 
705.0000 M235 1000000 S54 S155 600 N 
708.0000 M236 1000000 S112 S36 600 N 
711.0000 M237 1000000 S99 S198 600 N 
714.0000 M238 1000000 S152 S5 600 N 
717.0000 M239 1000000 S98 S28 600 N 
720.0000 M240 1000000 S29 S59 600 N 
723.0000 M241 1000000 S123 S40 600 N 
726.0000 M242 1000000 S46 S136 600 N 
729.0000 M243 1000000 S186 S185 600 N 
732.0000 M244 1000000 S177 S87 600 N 
735.0000 M245 1000000 S19 S132 600 N 
738.0000 M246 1000000 S172 S65 600 N 
741.0000 M247 1000000 S100 S76 600 N 
744.0000 M248 1000000 S111 S5 600 N 
747.0000 M249 1000000 S168 S15 600 N 
750.0000 M250 1000000 S30 S161 600 N 
753.0000 M251 1000000 S121 S76 600 N 
756.0000 M252 1000000 S37 S17 600 N 
759.0000 M253 1000000 S19 S22 600 N 
762.0000 M254 1000000 S123 S132 600 N 
765.0000 M255 1000000 S75 S73 600 N 
768.0000 M256 1000000 S154 S89 600 N 
771.0000 M257 1000000 S212 S39 600 N 
774.0000 M258 1000000 S124 S144 600 N 
777.0000 M259 1000000 S47 S108 600 N 
780.0000 M260 1000000 S180 S62 600 N 
783.0000 M261 1000000 S7 S175 600 N 
786.0000 M262 1000000 S6 S206 600 N 
789.0000 M263 1000000 S20 S181 600 N 
792.0000 M264 1000000 S128 S21 600 N 
795.0000 M265 1000000 S208 S205 600 N 
798.0000 M266 1000000 S206 S22 600 N 
801.0000 M267 1000000 S17 S51 600 N 
804.0000 M268 1000000 S58 S82 600 N 
807.0000 M269 1000000 S89 S186 600 N 
