# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4049.1000 M571 5000000 3 1194.1000 S74 S119 180 N S74->S181->2_224->S119
4058.3000 M392 5000000 2 2098.3000 S170 S94 165 N S170->7_279->S94
4100.7000 M207 5000000 5 3065.7000 S5 S140 148 N S5->S93->6T_260->S104->3_235->S140
4102.9000 M659 5000000 2 807.9000 S117 S107 186 N S117->3_237->S107
4127.7000 M153 5000000 4 3362.7000 S51 S124 143 N S51->3_235->S112->7_279->S124
4132.9000 M414 5000000 4 2062.9000 S152 S178 165 N S152->7_277->S33->3_237->S178
4223.7000 M248 5000000 3 2983.7000 S111 S5 150 N S111->4_245->3_236->S5
4267.8000 M534 5000000 5 1597.8000 S170 S59 173 N S170->7_279->S154->S9->9_306->S59
4291.0000 M156 5000000 5 3511.0000 S39 S127 141 N S39->7_278->S104->S55->3_237->S127
4296.6000 M635 5000000 5 1121.6000 S209 S187 181 N S209->2_224->S136->S197->2_225->S187
4340.7000 M376 5000000 4 2460.7000 S40 S50 158 N S40->7_275->S168->7_278->S50
4344.1000 M251 5000000 3 3089.1000 S121 S76 148 N S121->3_237->4_247->S76
4344.8000 M527 5000000 3 1709.8000 S111 S206 171 N S111->4_245->3_236->S206
4356.8000 M716 5000000 2 776.8000 S143 S202 187 N S143->2_227->S202
4384.8000 M429 5000000 3 2239.8000 S47 S117 162 N S47->S94->3_236->S117
4405.0000 M880 5000000 1 5.0000 S108 S57 199 N S108->S57
4411.4000 M680 5000000 2 1011.4000 S178 S187 183 N S178->3_236->S187
4439.1000 M554 5000000 4 1669.1000 S127 S49 172 N S127->4_246->S111->4_247->S49
4464.6000 M755 5000000 3 689.6000 S149 S100 188 N S149->S84->9_305->S100
4469.6000 M678 5000000 3 1079.6000 S129 S100 182 N S129->S95->9_305->S100
4514.9000 M636 5000000 5 1334.9000 S80 S187 177 N S80->3_234->S204->S11->3_235->S187
4525.6000 M285 5000000 4 3100.6000 S104 S149 148 N S104->7_275->S9->9_306->S149
4629.3000 M432 5000000 4 2469.3000 S82 S2 158 N S82->7_279->S134->2_226->S2
4634.3000 M71 5000000 5 4279.3000 S45 S2 128 N S45->4_247->S31->S14->2_226->S2
4640.1000 M186 5000000 4 3710.1000 S65 S83 138 N S65->7_275->S205->9_306->S83
4670.3000 M617 5000000 5 1585.3000 S112 S156 173 N S112->7_279->S134->S113->2_226->S156
4672.9000 M391 5000000 4 2717.9000 S183 S98 154 N S183->7_276->S161->2_224->S98
4679.9000 M549 5000000 4 1934.9000 S172 S88 167 N S172->3_236->S104->9_305->S88
4702.9000 M774 5000000 3 832.9000 S59 S75 186 N S59->S42->9_306->S75
4731.9000 M93 5000000 4 4266.9000 S42 S152 128 N S42->9_305->S163->7_276->S152
4752.4000 M459 5000000 5 2457.4000 S183 S24 159 N S183->7_277->S33->S100->3_236->S24
4782.4000 M740 5000000 3 1082.4000 S31 S64 181 N S31->S14->2_226->S64
4785.2000 M54 5000000 5 4515.2000 S8 S183 124 N S8->3_234->S117->S206->7_276->S183
4814.5000 M394 5000000 2 2844.5000 S207 S67 152 N S207->7_279->S67
4852.7000 M969 5000000 1 7.7000 S102 S64 199 N S102->S64
4853.6000 M749 5000000 5 1108.6000 S148 S154 181 N S148->S97->7_276->S117->3_235->S154
4856.3000 M563 5000000 4 2041.3000 S88 S1 165 N S88->9_306->S104->9_305->S1
4877.1000 M566 5000000 4 2047.1000 S5 S204 165 N S5->S93->9_305->3_236->S204
4899.3000 M614 5000000 2 1829.3000 S63 S132 169 N S63->4_245->S132
4912.8000 M786 5000000 2 982.8000 S148 S83 183 N S148->9_307->S83
4913.4000 M690 5000000 3 1463.4000 S23 S85 175 N S23->S122->3_237->S85
4919.0000 M461 5000000 2 2614.0000 S93 S100 156 N S93->3_235->S100
4936.3000 M444 5000000 4 2716.3000 S149 S18 154 N S149->S84->9_305->3_236->S18
4941.3000 M287 5000000 3 3506.3000 S206 S86 141 N S206->S117->3_236->S86
4942.8000 M374 5000000 6 3072.8000 S147 S185 148 N S147->S16->7_275->7_278->S205->9_306->S185
4948.8000 M451 5000000 3 2693.8000 S185 S205 155 N S185->S129->9_305->S205
4972.5000 M320 5000000 2 3372.5000 S187 S108 143 N S187->4_245->S108
4973.6000 M132 5000000 4 4313.6000 S32 S136 128 N S32->2_225->S135->2_227->S136
4980.9000 M337 5000000 3 3295.9000 S197 S141 145 N S197->S136->2_226->S141
5018.9000 M644 5000000 4 1798.9000 S50 S7 170 N S50->7_276->S117->3_235->S7
5023.9000 M729 5000000 3 1378.9000 S176 S7 177 N S176->S150->3_235->S7
5039.7000 M643 5000000 2 1824.7000 S137 S74 169 N S137->2_226->S74
5077.2000 M329 5000000 2 3432.2000 S134 S9 142 N S134->7_276->S9
5125.8000 M221 5000000 5 4020.8000 S10 S103 132 N S10->S144->2_224->S187->4_246->S103
5132.7000 M284 5000000 2 3712.7000 S17 S51 138 N S17->3_235->S51
5133.1000 M662 5000000 5 1823.1000 S199 S64 169 N S199->4_245->S116->S141->2_227->S64
5185.7000 M562 5000000 3 2375.7000 S147 S84 160 N S147->S16->7_275->S84
5190.7000 M380 5000000 5 3290.7000 S89 S141 145 N S89->3_237->S151->S187->4_246->S141
5244.1000 M369 5000000 4 3399.1000 S63 S130 143 N S63->4_246->S8->3_235->S130
5247.4000 M711 5000000 3 1692.4000 S23 S9 171 N S23->S122->3_237->S9
5265.6000 M782 5000000 2 1355.6000 S137 S7 177 N S137->2_226->S7
5272.5000 M854 5000000 2 1002.5000 S77 S27 183 N S77->2_227->S27
5311.8000 M481 5000000 2 2906.8000 S155 S119 151 N S155->7_276->S119
5325.0000 M1064 5000000 1 5.0000 S121 S51 199 N S121->S51
5363.4000 M696 5000000 2 1883.4000 S162 S75 168 N S162->7_275->S75
5368.4000 M589 5000000 3 2423.4000 S117 S97 159 N S117->S206->7_275->S97
5383.5000 M103 5000000 5 4868.5000 S103 S131 118 N S103->S133->4_247->S14->2_226->S131
5415.0000 M1082 5000000 1 5.0000 S96 S83 199 N S96->S83
5433.4000 M595 5000000 4 2458.4000 S39 S59 159 N S39->7_277->S194->9_308->S59
